nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm14643960	Nilda Fromage Papazian	\N	\N	camera_department,cinematographer,director	tt32430190,tt30424435,tt26592721,tt27044905
nm1464399	Farit Kurbangaliyev	\N	\N	writer,producer	tt0383325
nm14643998	Carlsen Miriam	\N	\N	director,writer,editor	tt27117937,tt27478383
nm1464400	Igor Kurbangaliyev	\N	\N	writer	tt0383325
nm14644038	Kofi Hall	\N	\N	producer,director,writer	tt27124422,tt31434339
nm14644043	Feisal Bile	\N	\N	writer,casting_director	tt26297744,tt35671883
nm14644049	Jerry Blackstar	\N	\N	director,editor,location_management	tt27118061,tt35699155
nm1464406	Paul Kurowski	\N	\N	art_department,writer,director	tt15613288,tt0277723,tt2374911,tt1976517
nm14644084	Natalya Galushko	\N	\N	writer	tt27118262
nm1464409	Aleksandr Kushner	\N	\N	writer	tt0219251,tt1386352,tt4818574
nm14644096	Sophia Kecir Camper	\N	\N	director,writer,cinematographer	tt27118323
nm14644116	Steven Bailey	\N	\N	director,writer,cinematographer	tt27118342
nm14644120	Theo Rumansara	\N	\N	director,writer	tt27118356,tt29672962
nm14644134	Félix Armand	\N	\N	director	tt27118473
nm14644138	El Bouamri Othmane	\N	\N	director,writer,composer	tt27118477
nm14644143	Louise Legay	\N	\N	writer	tt27118477
nm14644151	Julien Duval	\N	\N	visual_effects,animation_department,director	tt1060234,tt27116892,tt0940656,tt0940657
nm14644197	Alexandra Popova	\N	\N	director,writer	tt27118528
nm14644202	Orla Worthington	\N	\N	director,writer,producer	tt27118826,tt28662752
nm1464422	Arianna LaPenne	\N	\N	director,camera_department,cinematographer	tt0426931,tt12753692,tt11497904,tt33336279
nm14644241	Andrew P. Oliver	\N	\N	director,producer,production_manager	tt27590377,tt33226838,tt28535686
nm14644250	Jeanette	\N	\N	writer	tt5000138
nm14644252	Eugen Avines	\N	\N	director,writer,editor	\N
nm14644314	Marie Nørgaard	\N	\N	director,actress	tt27118948,tt31852661
nm14644315	Sandra Duus	\N	\N	writer	tt27118948
nm14644317	Mathias Dan Petersen	\N	\N	editorial_department,miscellaneous,director	tt35890699,tt34385956,tt35890723,tt30148859
nm14644345	Dominika Affek	\N	\N	director,writer	tt27112622
nm1464437	Pierre Lacourt	\N	\N	assistant_director,location_management,director	tt0365737,tt1820633,tt0892260,tt0167644
nm14644401	Sébastien Durand	\N	\N	visual_effects,animation_department,director	tt1590977,tt0837143,tt1433915,tt1239462
nm14644415	Seán Condon	\N	\N	actor,director,writer	tt31949269,tt8270482,tt33311910,tt23468116
nm14644418	Mahsa Kardani	\N	\N	director,writer,producer	tt27119264
nm14644429	Jude Okechukwu	\N	\N	writer	tt27313626,tt27490340,tt27117537
nm14644445	Mohammad Bagheri	\N	\N	director,writer,cinematographer	tt33499114,tt27101810
nm14644481	Vaidyanath Prasad	\N	\N	director,writer,producer	tt27119647
nm14644483	Kamrul Habib	\N	\N	director,actor,writer	tt27111318
nm14644505	Timothy Alvis	\N	\N	writer,producer	tt27119673
nm14644552	Devendra Maalviya	\N	\N	director,writer,actor	tt35684482,tt27412538,tt27412641,tt27411594
nm1464459	Ruediger Landmann	\N	\N	writer,editor,producer	tt0379351,tt7035512
nm14644621	Cameryn D. Starr	\N	\N	director,writer,set_decorator	tt27055296,tt33078672,tt33061082
nm14644622	Timmons Flowers	\N	\N	writer,director,actor	tt27046231,tt35152267,tt22794084,tt30790000
nm14644660	Paolo Theodule	\N	\N	director	tt27120590
nm14644723	Logan Davis	\N	\N	director,actor,writer	tt31326105,tt27120944,tt31350072
nm1464473	Pierre-Antoine Lasnier	\N	\N	actor,writer	tt3244886,tt0431986,tt0380089,tt1959409
nm14644738	Timmy Thompson	\N	\N	actor,writer,producer	tt25396524,tt27949556,tt27949594
nm1464474	Stéfanie Lasnier	\N	\N	writer,actress	tt1590956,tt0459141,tt0315426
nm1464475	James Lassey	\N	\N	editor,director,writer	tt0383415,tt0437073
nm14644764	Ahmed Essam Elsayed	\N	\N	writer	tt27120987
nm14644772	Haider Kikabhoy	\N	\N	director	tt27121010
nm14644776	Nazareth Vega	\N	\N	director	tt27121034
nm1464478	Rafael Latiegui	\N	\N	art_director,writer,animation_department	tt0383609,tt0382740,tt2235711,tt11646908
nm14644789	Hayden Endicott	\N	\N	director,actor,writer	tt27121042
nm14644835	Darryl Lewis	\N	\N	director,actor,writer	tt27121104
nm14644836	Amber Brenton	\N	\N	actress,writer,producer	tt27121104
nm14644839	Jalisa Mapp	\N	\N	writer	tt27121104
nm14644843	Gerson Gomes Karaí	\N	\N	director	tt27121106
nm1464485	Jinky Laurel	\N	\N	actress,miscellaneous,writer	tt1424064,tt15260940,tt8368032,tt11023528
nm14644865	Stephen Flannagan	\N	\N	director	tt27121142
nm14644881	Simon Fisher	\N	\N	director,editor,producer	tt27121153
nm14644882	Heather Ward	\N	\N	director	tt27121153
nm14644883	Carol Cooper	\N	\N	writer	tt27121153
nm14644884	Mitch Day	\N	\N	writer	tt27121153
nm14644886	Daniel Filatov	\N	\N	director,writer	\N
nm14644891	David Rios	\N	\N	actor,director,writer	tt30061905,tt25397170,tt27121159,tt32269627
nm14644894	Victor Garcia	\N	\N	writer,camera_department	tt27579608,tt27121159
nm14644897	Hunter R Clark	\N	\N	writer,producer	tt27754842
nm14644921	Valeria Mushak	\N	\N	director	tt27121171
nm14644931	Cael Snelson	\N	\N	art_department,director,cinematographer	tt31242013,tt27121180,tt35690986,tt35238760
nm1464497	Cédric Le Roy	\N	\N	director,writer,actor	tt0424155,tt16911816,tt16751192,tt0422039
nm14644987	Sha Liang	\N	\N	writer	tt13695606,tt33358653,tt21479848
nm14644988	Er Gen	1985	\N	writer,producer	tt28479951,tt13695606,tt27432264,tt28526428
nm14644995	Oliver Nottingham	\N	\N	director,actor,writer	tt33023310,tt27121227
nm14645061	Andrew Ewington	\N	\N	writer	tt15734120
nm14645062	Paul Martin	\N	\N	director,writer	tt15734120,tt30334749
nm14645063	Ana Dukakis	\N	\N	writer	tt15734120
nm1464507	Alexandra Leclère	\N	\N	writer,director,soundtrack	tt0383226,tt2357201,tt1659611,tt13271264
nm14645090	Emanuel Krüger	1992	\N	actor,director,writer	tt34730493,tt27301634,tt2609822,tt2715356
nm1464511	Jody Lee Lipes	\N	\N	cinematographer,camera_department,director	tt4034228,tt0425118,tt18382328,tt1441326
nm1464512	David Y. Lee	\N	\N	cinematographer,director,writer	tt0382503,tt2251341,tt0397171,tt0103569
nm14645149	Gris Paloma Iris	\N	\N	writer,art_department	tt34200866,tt30818627,tt27121504
nm14645152	Vineet Sharma	\N	\N	writer	tt4194162
nm1464516	Ji-ho Lee	\N	\N	camera_department,writer,miscellaneous	tt0383269,tt1663169,tt5618336
nm14645177	Renee Blair	\N	\N	director	tt27121538
nm14645181	Shelby Tinley	\N	\N	writer,actress,assistant_director	tt2139911,tt29373875,tt33794117
nm14645182	Mia Anderson	\N	\N	writer,actor,assistant_director	tt2139911,tt29373875
nm1464523	André Lefèvre	\N	\N	writer,camera_department	tt0168325,tt0072307,tt0217415
nm14645241	Mike Tabasco	\N	\N	director	tt21920612
nm14645258	Audril Frias	\N	\N	director,writer,editor	tt27121721
nm1464529	Kylee Lehe	\N	\N	actress,writer,producer	tt8406330,tt5161080,tt0849437,tt8713466
nm14645298	Bryan Yanbing Lee	\N	\N	director,writer,camera_department	tt32307009,tt35326828,tt27121746,tt33455508
nm14645313	K.S. Vaught	\N	\N	director,writer,cinematographer	tt27678694,tt27678710,tt33318138
nm14645330	Dan Malyk	\N	\N	writer	tt13780886
nm14645351	Hyun Ji-min	\N	\N	writer	tt26314750
nm14645379	Xiaoguang Su	\N	\N	director	tt13695606
nm14645380	Xing Liu	\N	\N	producer,writer,miscellaneous	tt26625453,tt13695606,tt21479848,tt33358653
nm14645424	Marques Tyler	\N	\N	director,editor,producer	tt28084340
nm14645425	Aidan O'Hearon	\N	\N	director,writer,editor	tt27121808,tt30761792
nm14645449	Salomon Alfredo Acuña Gonzales	\N	\N	director,producer	tt27121825
nm14645485	Jose Maria Solis	\N	\N	writer	tt23709748
nm14645524	Garrett Hardin	\N	\N	director,producer	tt27121865,tt32836170
nm14645527	Jordan Joseph	\N	\N	writer,cinematographer,producer	tt27121865
nm1464553	Keith Leopard	\N	\N	producer,actor,writer	tt20258220,tt7188978,tt12055088,tt11217094
nm1464554	Pekka Leppänen	\N	\N	camera_department,cinematographer,miscellaneous	tt7094074,tt2039427,tt1584284,tt0403723
nm14645546	Larry Everett	\N	\N	director,writer,producer	tt27140526
nm14645556	Jazmine Lopez	\N	\N	director	tt27121903
nm14645560	Jazmin Lopez	\N	\N	writer	tt27121903
nm14645562	Christian Uitz	\N	\N	director,writer,cinematographer	tt33298841,tt27121903
nm14645582	William Hearn	\N	\N	camera_department,actor,director	tt30061831,tt25397170,tt32269627,tt33052602
nm14645585	Jaxon Peairson	\N	\N	miscellaneous,writer,camera_department	tt30629083,tt25397170,tt30061831
nm14645588	Victor Garcia	\N	\N	director,writer,cinematographer	tt27715617
nm14645595	Judith Oster	\N	\N	writer	tt26217980
nm14645597	Isaiah Somerville	\N	\N	actor,director,writer	tt27121528,tt27342487,tt23770770,tt27122162
nm14645598	Kell Allen	\N	\N	make_up_department,director,actress	tt27409161,tt27122160,tt35525538
nm14645599	Bárbaro Xavier	\N	\N	actor,writer	tt27122160,tt27409161,tt13683308,tt11974516
nm1464561	Roberto Levermann	\N	\N	writer,actor,director	tt2777882,tt0473311,tt11874906,tt5730624
nm14645613	Christopher Coyle	\N	\N	actor,writer,assistant_director	tt27810870,tt28288911,tt21254270
nm1464562	Ian Levison	\N	\N	producer,director,editorial_department	tt3952194,tt1256041,tt0429290,tt4543056
nm14645626	Raj Karthiken	\N	\N	director,actor,writer	tt27122291
nm14645632	Justin M Morgan	\N	\N	writer,miscellaneous	tt27122294
nm14645665	Roberts Warren	\N	\N	writer	tt27122315
nm14645666	E.M. Reyes	\N	\N	director	tt0346382
nm14645667	Ricky Lee	\N	\N	writer	tt0346382
nm14645669	Kai Suteja	\N	\N	writer,producer	tt27122326
nm14645672	Jonathan Sessions	\N	\N	director,cinematographer	tt27122341
nm14645675	Tyson Bracey	\N	\N	writer	tt27122341
nm14645677	Marc Levar Mills	\N	\N	actor,writer,camera_department	tt28208745,tt28536783,tt30028202,tt27552335
nm14645678	Nykeem Waddell	\N	\N	actor,writer	tt27076074
nm14645687	Brent Gray	\N	\N	actor,writer,editor	tt27122398
nm14645688	Aiden Hodges	\N	\N	actor,writer	tt27122398
nm14645693	Alexander Porro	\N	\N	writer	tt27122405,tt27427783,tt23724192
nm14645694	David Shutt	\N	\N	editor,cinematographer,camera_department	tt28003924,tt27122405,tt31614613,tt31615369
nm14645706	Claire Bracken	\N	\N	writer	tt27122413
nm14645707	Nicholas Carolan	\N	\N	writer	tt27122413,tt27122482
nm14645715	Christaveon Gaines	\N	\N	actor,director,writer	tt27122426,tt35156083
nm14645739	Fransix Desjardins	\N	\N	director,editor,editorial_department	tt33354337,tt27122478,tt26345884
nm14645745	Zo Bell	\N	\N	director,writer,casting_department	tt27122481
nm14645750	Cenk Yaz	\N	\N	director	tt24513892
nm14645751	Ilber Tekinsoy	\N	\N	writer	tt24513892
nm1464577	Rob Lieber	1976	\N	writer,producer,actor	tt5117670,tt1698641,tt5664636,tt2712740
nm14645770	Danaë Jonas	\N	\N	director,producer,editor	tt30970383,tt30971046,tt30984237,tt30971072
nm14645778	Blue Hat Animator	\N	\N	director,actor,writer	tt27122552,tt27528897
nm14645794	Matthew Groom	\N	\N	writer	\N
nm14645806	Zaili Sulan	\N	\N	director	tt27032825
nm14645822	Ayush Pandit	\N	\N	director,writer,editor	tt28020538,tt27930193,tt27122601,tt28081311
nm14645872	Truls Wallin	\N	\N	writer,editor	tt27736284,tt27122706
nm14645875	Henry Kro	\N	\N	director	tt27122725
nm14645884	Mohamad W. Ali	\N	\N	director,writer,editor	tt27122735,tt29522165
nm14645908	Ashutosh S. Shankar	\N	\N	assistant_director,actor,director	tt15471900,tt33338967,tt31862849,tt29513495
nm14645915	Fuzi UV TPK	\N	\N	writer	tt27122757
nm14645920	Gregory Damour	\N	\N	director,writer	tt27122760
nm14645921	Anthony Gilles	\N	\N	director,writer	tt27122760
nm14645922	Allan Sellier	\N	\N	director,writer	tt27122760
nm14645936	Jibon Teron	\N	\N	director	tt27122775
nm1464594	Virginie Linhart	\N	\N	director,writer,actress	tt17495410,tt1495001,tt5281652,tt4947134
nm14645957	JY Aev LEE	\N	\N	director,writer	tt27122814
nm14645959	Jeff Liu	\N	\N	writer	tt27122814
nm14645960	Robinz Sng	\N	\N	director	tt27122835
nm14645969	Yi Nan	\N	\N	writer	tt27122853
nm1464599	Gay Linvill	\N	\N	producer,miscellaneous,assistant_director	tt0058796,tt0096593,tt0898266,tt0360256
nm1464600	David H. Lion	\N	\N	director	tt0326521
nm14646004	Lisa Gieske	\N	\N	writer,producer,production_manager	tt32318836,tt27122892
nm1464602	Roope Lipasti	\N	\N	writer	tt1581071,tt0383107,tt10955394,tt3309322
nm14646036	Abir Khan	\N	\N	director,writer	tt27122972
nm14646037	Rashed Shamim Sam	\N	\N	director,writer,music_department	tt27122972
nm14646046	Momor Rubel	\N	\N	writer	tt27122972
nm14646055	Ankit Garg	\N	\N	writer	tt27119280
nm14646064	Alok Vallabh	\N	\N	writer,music_department	tt19284176
nm1464607	Scott Lipsey	\N	\N	script_department,writer	tt0290983,tt0158552,tt0773262
nm14646078	Alexandre Colchen	\N	\N	director	tt27123071
nm1464608	Whip Lipsey	\N	\N	writer	tt0290983,tt0158552
nm14646095	Jesper Ahlcrona	\N	\N	editorial_department,miscellaneous,director	tt35572821,tt20872980,tt13411722,tt24132876
nm1464611	Errikos Litsis	1955	\N	actor,writer,script_department	tt1334318,tt4006044,tt3076694,tt1000779
nm14646131	Remi Sørstø Andersen	\N	\N	writer	tt12319266
nm14646277	Hiralal Patel	\N	\N	writer	tt0265979
nm14646301	Abnash Kumar Bhola	\N	\N	director	tt27123359
nm14646328	Igor Mendes	\N	\N	director,writer,cinematographer	tt27123467
nm14646336	Valerie Plankensteiner	\N	\N	assistant_director,writer,cinematographer	tt27123470,tt28443367,tt26925661,tt28676785
nm1464638	Vivien Loiseau	\N	\N	production_manager,location_management,writer	tt0936501,tt1129442,tt0473753,tt0804540
nm1464639	Julie Lojkine	\N	\N	director,writer,producer	tt2400383,tt0383689
nm14646390	Alicia Stratford	\N	\N	director,producer,production_manager	tt31144954,tt30890169,tt15789072
nm14646392	Anne Gart	\N	\N	director,cinematographer,editor	tt27125345,tt27124966,tt27123710
nm14646396	Pankaj Kumar	2002	\N	director,writer,producer	tt6506096,tt14145434,tt6492382,tt11070214
nm14646397	Raj Baghel	\N	\N	actor,producer,writer	tt27750307,tt27147426,tt27126136
nm14646407	Vikarnan Ashok	\N	\N	director,writer	tt32423736
nm14646408	Cédrick-Isham Calvados	\N	\N	director,actor	tt27123924,tt30290751
nm14646416	Pablo Thiermann	\N	\N	director,writer,editorial_department	tt28443367,tt27123948,tt35434753,tt28676785
nm14646421	Shamsul Haque Shirazi	\N	\N	director	tt27123953
nm14646437	Laneeya	\N	\N	writer	tt21145212,tt19870222
nm14646449	Axel Schuldes	\N	\N	director,writer,producer	tt27124038
nm14646478	Juan Ernesto Velazquez	\N	\N	writer	tt27124435
nm1464648	Doug Longwill	\N	\N	camera_department,cinematographer,director	tt10122634,tt1252370,tt0475898,tt0475209
nm14646482	Warren Brown	\N	\N	director,producer	tt27242074,tt6979722
nm14646491	Chandrakant Pulljawar	\N	\N	director	tt15102364
nm1464650	Fiona Looney	\N	\N	script_department,writer,music_department	tt35529651,tt3657706,tt35326031,tt0120490
nm14646512	Kate Morrison	\N	\N	director,writer	tt27124576,tt31262946
nm14646573	Satnam Bugra	\N	\N	writer,assistant_director	tt26731136,tt27124698,tt27799623
nm14646604	Nicolas Picquet	\N	\N	cinematographer,director	tt34271230,tt33254424,tt27124836,tt33269998
nm1464661	Virgile Loyer	\N	\N	director,writer,editor	tt0383723
nm1464662	Bernardo Loyola	\N	\N	producer,production_manager,editor	tt0425962,tt5430288,tt2658452,tt5734106
nm14646633	Jania Ashlynn	\N	\N	writer	tt27124966
nm14646641	Manpreet Singh Khalsa	\N	\N	writer,cinematographer,camera_department	tt27169239,tt27189823,tt27169316,tt27412217
nm14646646	Ngoeuy Bunrath	\N	\N	writer	tt27125025,tt35508722,tt34856400,tt31173109
nm1464665	Diego Lublinsky	1968	\N	editorial_department,director,actor	tt4444972,tt7389904,tt0490016,tt1404025
nm14646662	Noah Ruggery	\N	\N	director,writer,editor	tt27125091
nm14646665	Makbula Manzoor	1938	2020	writer	tt27125129
nm14646671	Pat Anderson	\N	\N	writer	tt2303927
nm14646672	Tony Bakwenye	\N	\N	director	tt27125158
nm14646674	David Hundeyin	\N	\N	writer	tt27125158
nm1464669	Seth Luisi	\N	\N	producer,director,miscellaneous	tt0809943,tt0288518,tt0290426,tt0208155
nm14646701	Valetta Stallabrass	\N	\N	director	tt1910032
nm14646704	Roberto Carda	\N	\N	director,visual_effects,camera_department	tt27125195,tt23132198
nm14646711	Jonathan Tirado	\N	\N	director,cinematographer	tt27125206
nm1464674	Hannu Lumivuori	\N	\N	director,writer,actor	tt1984581,tt1613887,tt1892933,tt0464351
nm14646744	Jane Duncan	\N	\N	writer	tt2303927
nm14646753	Jonathan Smith	\N	\N	director,producer	tt20603710
nm14646764	Tiffon Saul	\N	\N	actor,writer	tt27125345
nm14646810	Robert Metson	\N	\N	director,writer,editor	tt27862546,tt27125504
nm14646871	Donovan O'Malley	\N	\N	writer	tt1685403
nm14646877	M-Alain Bertoni	\N	\N	producer,director,writer	tt27131655,tt34575860,tt20855236,tt33307705
nm1464691	Antoine-Léonard Maestrati	\N	\N	director,writer,actor	tt1024825,tt4964258,tt0460971,tt0384760
nm1464693	Francisco López Ballo	\N	\N	director,actor,writer	tt0383192,tt2316803,tt0497504,tt0792966
nm14646978	M S Tripathi	\N	\N	writer,editor	tt27105738
nm14646985	Jayme Vasconcellos	\N	\N	producer,director,writer	tt27155251,tt27125842,tt32435796,tt29454803
nm14647127	Maksim Emelyanov	\N	\N	director	tt27126006
nm14647132	Maksim Federiakin	\N	\N	producer,writer,director	tt27141836,tt27126006
nm14647133	Maksim Kozlov	\N	\N	writer	tt27126006
nm14647147	Stewart Mackenzie-Cardy	\N	\N	actor,writer	tt27126017
nm1464716	Sinead MacInnes	\N	\N	actress,writer	tt3006802,tt9059350,tt31921411,tt28263158
nm14647255	Amber Deckers	\N	\N	actress,writer	tt30912876,tt27126113,tt32084632
nm14647262	Jasmine Storr	\N	\N	director,writer	tt27126138
nm14647280	Etola Burton	\N	\N	editor,writer,director	tt29236821,tt27104033,tt29242316,tt29242851
nm14647281	Daniela del Rey	\N	\N	director,writer	tt27126198
nm14647284	Judith Contrucci	\N	\N	director	tt6983674
nm14647314	Lisette Torres	\N	\N	director,writer	tt27126223
nm14647330	Michael Wolf	\N	\N	writer	tt27126241
nm1464734	Lauren Madow	\N	\N	camera_department,director,cinematographer	tt1824977,tt0833976,tt0383037
nm14647341	Alyssa Evetts	\N	\N	director,writer,editor	tt27126249
nm14647345	Leah Faye	\N	\N	director,writer	tt27126263
nm1464737	Marinko Madzgalj	1978	2016	actor,writer	tt1277986,tt0375289,tt2612518,tt1552816
nm14647388	Edward Camara	\N	\N	director,writer	tt27126311
nm14647398	Ollie Uglow	\N	\N	director,cinematographer	tt27126324,tt28769048
nm14647402	Igor Virabov	\N	\N	director,editor	tt27126327
nm14647404	Daniela meija B	\N	\N	director	tt27126329
nm14647405	Daniela mejia B	\N	\N	writer,editor	tt27126329
nm14647518	Vincent Mathieu	\N	\N	writer	tt33377027,tt27126389
nm14647522	Thanh Tran	\N	\N	director,writer	tt27126392
nm14647531	Graham Eaglesham	\N	\N	writer	tt27126395
nm14647537	Teondra Kegler	\N	\N	camera_department,director	tt13584070,tt19884648
nm1464754	Mark Maksimov	\N	\N	writer	tt0360366,tt0383329
nm14647562	Ignacio García	\N	\N	art_department,writer,art_director	tt19869024,tt16316200,tt27351936,tt32063728
nm14647606	Angélica Chacana	\N	\N	visual_effects,director,writer	tt7991508,tt2583014,tt19869024,tt32244849
nm14647631	Daniel Castro	\N	\N	director,writer,producer	tt27126411
nm14647650	Mina Maksimovic	2002	\N	producer,director,writer	tt32276133,tt27989108,tt27000044
nm14647657	Jamine Storr	\N	\N	director	tt27126479
nm14647659	Jasmine Storr	\N	\N	writer	tt27126479
nm14647675	Kim Suarez	\N	\N	director,writer	tt27126588
nm14647678	Biwen Chen	\N	\N	director	tt27126591
nm14647679	Xiaochun Liu	\N	\N	writer	tt27126591
nm14647682	Flore Jeanneau	\N	\N	animation_department,production_manager,director	tt32875195,tt8923146,tt8129006,tt16374236
nm14647699	Wangyang Liu	\N	\N	director,writer,producer	tt27126608
nm14647709	Nate Shapiro	\N	\N	director,writer,editor	tt27126627
