nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0796922	Doc Siegel	\N	\N	sound_department,miscellaneous	tt0070047,tt0086789,tt0075584,tt0088526
nm0796923	Don Siegel	1912	1991	director,producer,editorial_department	tt0066999,tt0079116,tt0049366,tt0067588
nm0796925	Eike Siegel	\N	\N	actress	tt0054705,tt0053656,tt0342658,tt0053560
nm0796926	Ellen Siegel	\N	\N	\N	tt0229325,tt1116031
nm0796927	Elliott Siegel	\N	\N	art_department	tt0104922,tt0093286
nm0796928	Eric Siegel	\N	\N	producer,actor,writer	tt4877122,tt1809194,tt1942919,tt0117119
nm0796929	Evan Siegel	\N	\N	transportation_department,actor,miscellaneous	tt0988047,tt0805564,tt0905372,tt0890870
nm0796930	Eve Siegel	\N	\N	miscellaneous	tt0079672
nm0796931	Giulia Siegel	1974	\N	actress,archive_footage	tt10343928,tt0806910,tt9817680,tt0285209
nm0796932	H.B. Siegel	\N	\N	visual_effects,miscellaneous	tt0120201,tt0120647,tt0120616,tt0120179
nm0796933	Hans Siegel	\N	\N	camera_department	tt0036298,tt0034698,tt0034947,tt0036812
nm0796934	Harvey Siegel	1945	\N	actor	tt0096261,tt0096876,tt0097281,tt0162365
nm0796938	Heather Ward	\N	\N	actress	tt0090528,tt2369632,tt2229273,tt12325680
nm0796939	Henry Siegel	\N	\N	producer	tt0115385,tt1311659
nm0796940	Holger Siegel	\N	\N	actor	tt0107743
nm0796941	Howard Siegel	\N	\N	actor	tt0770828,tt0118480,tt2193021,tt0454082
nm0796942	Howie Siegel	\N	\N	\N	\N
nm0796943	Ira Siegel	\N	\N	music_department,miscellaneous,soundtrack	tt0147612,tt0100003,tt26690563,tt2866056
nm0796944	Jack Siegel	\N	\N	assistant_director,production_manager,producer	tt0120577,tt0208862,tt1237860,tt0155768
nm0796945	Jan Siegel	\N	\N	actor	tt0235826
nm0796947	Janet Lee Siegel	\N	\N	miscellaneous	tt0098622,tt0094072,tt0095875,tt0094941
nm0796948	Janis Siegel	1952	\N	actress,soundtrack	tt0099422,tt0108265,tt0101120,tt0158763
nm0796949	Jerome M. Siegel	\N	\N	assistant_director,production_manager,producer	tt0055614,tt0066995,tt0068931,tt0065225
nm0796950	Jerry Siegel	1914	1996	writer,miscellaneous,art_department	tt0078346,tt0770828,tt12361974,tt0439572
nm0796951	Jerry Siegel	\N	\N	miscellaneous,visual_effects	tt0110074,tt0106923,tt0235327
nm0796952	Jessica Siegel	\N	\N	actress	tt0117173
nm0796953	Joe Siegel	\N	\N	actor	tt0166176
nm0796954	Joel Siegel	1943	2007	actor,archive_footage	tt0083806,tt0085032,tt0467379,tt0282541
nm0796955	Josh Siegel	\N	\N	editor,producer,miscellaneous	tt18974548,tt11704040,tt11853200,tt3688530
nm0796956	Josie Siegel	\N	\N	sound_department	tt0077573
nm0796958	Karol Siegel	\N	\N	sound_department	tt0170177,tt0028274,tt0027257,tt0030586
nm0796959	Karen Siegel	1947	\N	miscellaneous,actress,producer	tt0090768,tt0084756,tt21952952,tt0090520
nm0796960	Karol Griffiths	\N	\N	script_department,writer,producer	tt5797184,tt0164212,tt0110074,tt0956038
nm0796963	Ken Siegel	1943	\N	actor	tt0460395,tt1121982,tt0107526,tt0094673
nm0796964	Lainie Ventura	\N	\N	actress,producer,writer	tt11427786,tt3313456,tt4765778,tt14495756
nm0796965	Larry Siegel	\N	\N	producer	tt0251193
nm0796966	Laura Siegel	\N	\N	actress,writer,script_department	tt0071056,tt0063925,tt3696634,tt0069644
nm0796967	Lawrence Siegel	\N	\N	actor	tt0113116
nm0796968	Leah Siegel	\N	\N	editor	tt0087090,tt1630270
nm0796969	Lewis Siegel	\N	\N	visual_effects,animation_department,art_department	tt0113855,tt0133093,tt0183523,tt2245084
nm0796970	Linda Siegel	\N	\N	visual_effects	tt0107290,tt0120915,tt0325980,tt0109830
nm0796971	Lionel E. Siegel	1927	2013	writer,producer,miscellaneous	tt0071054,tt0073965,tt0052504,tt0076975
nm0796972	Liz Siegel	\N	\N	casting_department,writer,producer	tt0106598,tt0103956,tt0108525,tt0099850
nm0796973	Lois Siegel	\N	\N	camera_department,casting_director,director	tt0133221,tt0115630,tt0107422,tt0085126
nm0796974	Marc Siegel	\N	\N	writer	tt0057765,tt0042156,tt0164485,tt0164981
nm0796976	Margot Siegel	\N	\N	miscellaneous	tt0074801
nm0796977	Margrit Siegel	\N	\N	actress,archive_footage	tt0068987,tt0073102,tt0068989,tt0154243
nm0796979	Mark Siegel	\N	\N	actor	tt0108260,tt0256459
nm0796980	Mary Siegel	\N	\N	actress	tt0091817
nm0796981	Matt Siegel	\N	\N	writer	tt0212952
nm0796982	Matt Siegel	\N	\N	miscellaneous	tt1414797
nm0796983	Matthew J. Siegel	\N	\N	cinematographer,camera_department,producer	tt0309698,tt0356910,tt0311113,tt0486822
nm0796984	Matthew Louis Siegel	1983	\N	actor	tt0101055,tt0084475
