tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0062336	movie	The Tango of the Widower and Its Distorting Mirror	El tango del viudo y su espejo deformante	0.0	2020.0		70	Drama
tt0070596	movie	Socialist Realism	El realismo socialista	0.0	2023.0		78	Drama,History
tt0077684	movie	Histórias de Combóios em Portugal	Histórias de Combóios em Portugal	0.0	2022.0		46	Documentary
tt0093119	movie	Grizzly II: Revenge	Grizzly II: The Predator	0.0	2020.0		74	Horror,Music,Thriller
tt0097767	movie	Loading Ludwig	Loading Ludwig	0.0	2022.0		65	
tt0104988	movie	Neues in Wittstock	Neues in Wittstock	0.0	2021.0		100	Documentary
tt0120589	movie	The Surgeon of the Rusty Knife	Predestinado	0.0	2022.0		108	Biography,Drama
tt0164115	movie	Nine Ball	Nine Ball	0.0	2023.0		85	Drama,Fantasy
tt0191010	movie	Heartland of Darkness	Heartland of Darkness	0.0	2022.0		102	Horror
tt0201206	movie	Superboy & Supergirl & 7 Monster	Superboy & Supergirl & 7 Monster	0.0	2022.0		98	
tt0202523	movie	The Perfect Shadow	The Perfect Shadow	0.0	2024.0		82	Drama
tt0211266	movie	Black Star: Autobiography of a Close Friend	Black Star: Autobiography of a Close Friend	0.0	2022.0		85	Documentary
tt0226822	movie	In the Land of the Blind	In the Land of the Blind	0.0	2024.0			
tt0228802	movie	Mugen ryûkyû tsuru Henrî	Mugen ryûkyû tsuru Henrî	0.0	2021.0		85	Drama,Fantasy
tt0244158	movie	Radha Krishna	Radha Krishna	0.0	2020.0		154	Drama
tt0249596	movie	The Incredible Shrinking Man	The Incredible Shrinking Man	0.0	2025.0			Action,Comedy,Sci-Fi
tt0250219	movie	Architects' Congress	Architekturkongress	0.0	2022.0			
tt0260293	movie	The Curse	A Praga	0.0	2021.0		80	Drama,Horror
tt0267968	movie	Taniec trzcin	Taniec trzcin	0.0	2023.0		56	Documentary
tt0287075	movie	Universal Groove	Universal Groove	0.0	2024.0		74	Drama,Fantasy
tt0293429	movie	Mortal Kombat	Mortal Kombat	0.0	2021.0		110	Action,Adventure,Fantasy
tt0293513	movie	Pit Bull: A Tale of Lust, Murder and Revenge	Pit Bull	0.0	2020.0			
tt0327785	movie	The Killer's Game	The Killer's Game	0.0	2024.0		104	Action,Comedy,Thriller
tt0346172	movie	Zamaanat: And Justice for All	Zamaanat: And Justice for All	0.0	2025.0			Drama,Family,Mystery
tt0347066	movie	I giganti del cielo	I giganti del cielo	0.0	2024.0			Documentary
tt0353974	movie	Sanatta: The Silence	Sanatta: The Silence	0.0	2025.0			
tt0361130	movie	Land of Nairi	Yerkir Nairi	0.0	2023.0		67	Documentary
tt0368133	movie	The Promise of Perfume	The Promise of Perfume	0.0	2024.0		57	Documentary
tt0375008	movie	Remedy	Remedy	0.0	2024.0		82	Crime,Drama
tt0427340	movie	Masters of the Universe	Masters of the Universe	0.0	2026.0			Action,Adventure,Family
