tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0261158	tvSpecial	Paul McCartney: Live at the Cavern Club	Paul McCartney: Live at the Cavern Club	0	1999	\N	46	Music
tt0261159	tvMovie	Paul McCartney: Freeze Frame	Paul McCartney: Freeze Frame	0	1984	\N	\N	Music
tt0261160	tvMovie	Paul McCartney: The Man, His Music, and His Movies	Paul McCartney: The Man, His Music, and His Movies	0	1984	\N	\N	Documentary,Music
tt0261161	tvMovie	Paul McCartney: Up Close	Paul McCartney: Up Close	0	1993	\N	90	Documentary,Music
tt0261162	movie	O País de São Saruê	O País de São Saruê	0	1971	\N	80	Documentary
tt0261163	movie	Pecado Sem Nome	Pecado Sem Nome	0	1978	\N	87	Crime,Drama
tt0261164	movie	Amina	Amina	0	1951	\N	94	\N
tt0261165	short	Pedestrians	Pedestrians	0	1975	\N	\N	Short
tt0261166	movie	Pedro Bó, o Caçador de Cangaceiros	Pedro Bó, o Caçador de Cangaceiros	0	1976	\N	90	Comedy,Western
tt0261167	movie	Pelli Naati Pramanalu	Pelli Naati Pramanalu	0	1958	\N	172	Comedy,Drama
tt0261168	movie	Pelli Thambulam	Pelli Thambulam	0	1961	\N	\N	\N
tt0261169	movie	Pequenas Taras	Pequenas Taras	0	1978	\N	88	Drama
tt0261170	movie	Periamma	Periamma	0	1992	\N	\N	\N
tt0261171	video	Personal Trainer Sluts	Personal Trainer Sluts	1	2000	\N	\N	\N
tt0261172	movie	Petits travaux tranquilles	Petits travaux tranquilles	0	1993	\N	88	\N
tt0261173	movie	Phool Aur Kaante	Phool Aur Kaante	0	1948	\N	\N	\N
tt0261174	movie	Pie in the Sky: The Brigid Berlin Story	Pie in the Sky: The Brigid Berlin Story	0	2000	\N	75	Biography,Documentary
tt0261175	movie	Peter Bell	Pietje Bell	0	2002	\N	110	Family
tt0261176	movie	Os Pilantras da Noite	Os Pilantras da Noite	0	1975	\N	95	Crime
tt0261177	tvMovie	Pique Dame	Pique Dame	0	1981	\N	\N	Music
tt0261178	tvMovie	Le plaisir de rompre	Le plaisir de rompre	0	1991	\N	\N	\N
tt0261179	tvShort	Hippodamias Square	Plateia Ippodamias	0	2001	\N	20	Documentary,Short
tt0261180	video	Playboy Wet & Wild: Slippery When Wet	Playboy Wet & Wild: Slippery When Wet	0	2000	\N	58	Comedy,Documentary
tt0261181	movie	Plyvi, korablik...	Plyvi, korablik...	0	1983	\N	73	Drama
tt0261182	movie	Podari mne lunnyy svet	Podari mne lunnyy svet	0	2001	\N	\N	Comedy,Drama
tt0261183	movie	Pohlavní choroby	Pohlavní choroby	0	1958	\N	\N	\N
tt0261184	movie	Come Look at Me	Prikhodi na menya posmotret	0	2001	\N	102	Comedy,Romance
tt0261185	movie	Poklonnik	Poklonnik	0	2001	\N	93	Drama,Thriller
tt0261186	tvEpisode	Zahltag	Zahltag	0	1990	\N	71	Crime,Drama,Mystery
tt0261187	tvMovie	Polnischer Sommer	Polnischer Sommer	0	1981	\N	103	Drama
tt0261188	movie	Pontal da Solidão	Pontal da Solidão	0	1974	\N	88	Drama
tt0261189	movie	Pornô!	Pornô!	0	1981	\N	83	Comedy,Drama,Fantasy
tt0261190	movie	El portero	El portero	0	2000	\N	88	Drama,Sport
tt0261191	tvMovie	The Power of Music	The Power of Music	0	1988	\N	60	Documentary,Music
tt0261192	movie	Hrdeh	Hrdeh	0	1984	\N	87	Comedy
tt0261193	movie	Pratigne	Pratigne	0	1964	\N	\N	\N
tt0261194	movie	O Prazer do Sexo	O Prazer do Sexo	1	1982	\N	85	Adult,Drama
tt0261195	movie	Prehlídka	Prehlídka	0	1951	\N	\N	\N
tt0261196	movie	Presença de Marisa	Presença de Marisa	0	1988	\N	91	Drama
tt0261197	movie	Prezident i ego vnuchka	Prezident i ego vnuchka	0	2000	\N	100	Comedy
tt0261198	movie	O Preço do Prazer	O Preço do Prazer	0	1979	\N	72	Drama
tt0261199	movie	The Price of Air	The Price of Air	0	2000	\N	73	Action,Crime,Drama
tt0261200	movie	Prikazano vzyat zhivym	Prikazano vzyat zhivym	0	1984	\N	87	Action,Thriller
tt0261201	tvMovie	Priklyucheniya malenkogo Muka	Priklyucheniya malenkogo Muka	0	1984	\N	69	Family,Musical
tt0261202	movie	Midjachvuli raindebi	Midjachvuli raindebi	0	2000	\N	91	Comedy
tt0261203	tvMovie	Prince Charming	Prince Charming	0	2001	\N	87	Adventure,Comedy,Family
tt0261204	tvSpecial	The Prince's Trust Rock Gala: 10th Birthday	The Prince's Trust Rock Gala: 10th Birthday	0	1986	\N	94	Music
tt0261206	tvMovie	Privet s fronta	Privet s fronta	0	1983	\N	80	Drama,Romance,War
tt0261207	movie	The Prophet	El profeta	0	1999	\N	\N	Action
tt0261208	short	Profile of a Director	Profile of a Director	0	1998	\N	28	Documentary,Short
tt0261209	video	Psy-chic	Psy-chic	1	2000	\N	70	Adult
tt0261210	tvMovie	Pulcinella	Pulcinella	0	1983	\N	43	\N
tt0261211	movie	Punishment and Lust	Punishment and Lust	0	1997	\N	\N	Adventure,Crime
tt0261212	video	Pure Sin	Pure Sin	1	2000	\N	80	Adult
tt0261213	tvMovie	Put It There	Put It There	0	1989	\N	\N	Documentary,Music
tt0261214	movie	Pyaar Kiya To Darna Kya	Pyaar Kiya To Darna Kya	0	1963	\N	\N	Comedy,Drama,Musical
tt0261215	tvMovie	La Périchole	La Périchole	0	1982	\N	167	Comedy,Music
tt0261216	tvMovie	Qualcuno da amare	Qualcuno da amare	0	2000	\N	177	Drama
tt0261217	movie	Que me siga la tambora	Que me siga la tambora	0	1993	\N	\N	\N
tt0261218	movie	Rachayithri	Rachayithri	0	1980	\N	\N	\N
tt0261219	movie	Ragulutunna Bharatam	Ragulutunna Bharatam	0	1992	\N	\N	Action,Drama
tt0261220	tvShort	Raisins Sold Out: The California Raisins II	Raisins Sold Out: The California Raisins II	0	1990	\N	24	Adventure,Animation,Comedy
tt0261221	movie	Raja Malaya Simhan	Raja Malaya Simhan	0	1959	\N	\N	\N
tt0261222	movie	Raja Malaya Simhan	Raja Malaya Simhan	0	1959	\N	\N	\N
tt0261223	movie	Rangula Kala	Rangula Kala	0	1983	\N	136	Drama
tt0261224	tvEpisode	The Brotherhood/Ghost Watch/The Headless Ghost	The Brotherhood/Ghost Watch/The Headless Ghost	0	1995	\N	44	Drama,Fantasy,Horror
tt0261225	movie	Tatu Bola	O Rei dos Milagres	0	1971	\N	85	Drama
tt0261226	movie	Reyndzher iz atomnoy zony	Reyndzher iz atomnoy zony	0	1999	\N	\N	Action
tt0261227	movie	Rendu Jella Seetha	Rendu Jella Seetha	0	1983	\N	\N	Comedy,Drama
tt0261228	movie	Renzo Piano: Piece by piece	Renzo Piano: Piece by piece	0	1999	\N	74	Documentary
tt0261229	short	Reportages nº 71	Reportages nº 71	0	1944	\N	8	Short
tt0261230	short	Reportages nº 72	Reportages nº 72	0	1944	\N	10	Short
tt0261231	short	Reportages nº 75	Reportages nº 75	0	1944	\N	10	Short
tt0261232	short	Reportages nº 76	Reportages nº 76	0	1944	\N	11	Short
tt0261233	short	Reportages nº 78	Reportages nº 78	0	1944	\N	9	Short
tt0261234	short	Reportages nº 83	Reportages nº 83	0	1944	\N	10	Short
tt0261235	short	Reportages nº 85	Reportages nº 85	0	1944	\N	10	Short
tt0261236	movie	The Rest of Your Life	The Rest of Your Life	0	2001	\N	\N	Comedy,Drama
tt0261237	tvMovie	Retour aux sources	Retour aux sources	0	2003	\N	100	\N
tt0261238	movie	Os três Zuretas	Os três Zuretas	0	1998	\N	82	Family
tt0261239	movie	Rhode Island Blue	Rhode Island Blue	0	2001	\N	\N	\N
tt0261240	movie	Rickshawali	Rickshawali	0	1990	\N	\N	\N
tt0261241	short	Roberta Loved	Roberta Loved	0	2002	\N	24	Drama,Short
tt0261242	movie	Rock and the Alien	Rock and the Alien	0	1988	\N	82	Sci-Fi
tt0261243	movie	Rockford	Rockford	0	1999	\N	102	Comedy,Drama
tt0261244	movie	Le roi, la vache et le bananier	Le roi, la vache et le bananier	0	1994	\N	60	Documentary
tt0261245	movie	Romance	Romance	0	1988	\N	99	Drama
tt0261246	movie	Romualdo e Juliana	Romualdo e Juliana	0	1971	\N	100	Romance
tt0261247	short	Roslein	Roslein	0	1997	\N	\N	Comedy,Fantasy,Short
tt0261249	tvSpecial	Royal Rumble	Royal Rumble	0	1988	\N	144	Action,Sport
tt0261250	tvSpecial	Royal Rumble	Royal Rumble	0	1989	\N	153	Action,Sport
tt0261251	tvSpecial	Royal Rumble	Royal Rumble	0	1990	\N	162	Action,Sport
tt0261252	tvSpecial	Royal Rumble	Royal Rumble	0	1991	\N	186	Action,Sport
tt0261253	tvSpecial	Royal Rumble	Royal Rumble	0	1992	\N	159	Action,Sport
tt0261254	tvSpecial	Royal Rumble	Royal Rumble	0	1993	\N	158	Action,Sport
tt0261255	tvSpecial	Royal Rumble	Royal Rumble	0	1994	\N	160	Action,Sport
tt0261256	tvSpecial	Royal Rumble	Royal Rumble	0	1995	\N	163	Action,Sport
tt0261257	tvSpecial	Royal Rumble	Royal Rumble	0	1996	\N	180	Action,Sport
tt0261258	tvSpecial	Royal Rumble	Royal Rumble	0	1997	\N	172	Action,Sport
tt0261259	tvSpecial	WWF Royal Rumble: No Chance in Hell	Royal Rumble: No Chance in Hell	0	1999	\N	166	Action,Sport
tt0261260	tvSpecial	Royal Rumble	Royal Rumble	0	2000	\N	166	Action,Sport
tt0261261	tvSpecial	The Royal Variety Show	The Royal Variety Show	0	1986	\N	170	Drama,Music
tt0261262	movie	Rozdelené mesto	Rozdelené mesto	0	1957	\N	\N	Documentary
tt0261263	movie	Rozloucení s Klementem Gottwaldem	Rozloucení s Klementem Gottwaldem	0	1954	\N	\N	\N
tt0261264	tvMovie	Ruby's Bucket of Blood	Ruby's Bucket of Blood	0	2001	\N	95	Drama,Music
tt0261265	short	Rupert and the Frog Song	Rupert and the Frog Song	0	1984	\N	13	Animation,Family,Music
tt0261266	tvMovie	Russia's Last Tsar	Russia's Last Tsar	0	1994	\N	60	Documentary
tt0261267	movie	Réseau particulier	Réseau particulier	1	1982	\N	85	Adult
tt0261268	movie	Sakani 79	Sakani 79	0	1930	\N	75	Action,Adventure,Drama
tt0261269	movie	Samba of the Creation of the World	Samba da Criação do Mundo	0	1979	\N	83	Documentary,Musical
tt0261270	movie	Samia	Samia	0	2000	\N	73	Drama
tt0261271	movie	A Santa Donzela	A Santa Donzela	0	1978	\N	90	Comedy
tt0261273	tvMovie	Sarah et le cri de la langouste	Sarah et le cri de la langouste	0	1985	\N	\N	Drama
tt0261274	movie	The Wind	Savithri	0	1978	\N	\N	\N
tt0261275	movie	Schaste Nikifora Bubnova	Schaste Nikifora Bubnova	0	1983	\N	76	Drama
tt0261276	movie	Manoeuver Time Is Fine	Schön ist die Manöverzeit	0	1931	\N	85	Comedy
tt0261277	movie	The Sea That Thinks	De zee die denkt	0	2000	\N	100	Adventure,Biography,Comedy
tt0261279	tvSeries	The Seasons	The Seasons	0	1987	1989	\N	Drama
tt0261280	tvSpecial	Secombe and Friends	Secombe and Friends	0	1966	\N	60	Comedy
tt0261282	movie	A Century's End	Segimal	0	1999	\N	102	Comedy
tt0261283	movie	O Segredo da Rosa	O Segredo da Rosa	0	1974	\N	80	\N
tt0261284	movie	As Seis Mulheres de Adão	As Seis Mulheres de Adão	1	1982	\N	85	Adult,Comedy,Drama
tt0261285	movie	Sem chasov do gibeli	Sem chasov do gibeli	0	1983	\N	72	Drama
tt0261286	movie	Semeynye tayny	Semeynye tayny	0	1985	\N	88	Drama
tt0261287	movie	Les sept péchés capitaux	Les sept péchés capitaux	0	1992	\N	112	Comedy
tt0261288	movie	Serafim Polubes i drugie zhiteli Zemli	Serafim Polubes i drugie zhiteli Zemli	0	1984	\N	91	Drama
tt0261289	movie	Serving Sara	Serving Sara	0	2002	\N	99	Comedy,Romance
tt0261290	movie	Setkání v Lipsku	Setkání v Lipsku	0	1959	\N	65	Documentary
tt0261292	movie	Sex Tours of Hong Kong	Sex Tours of Hong Kong	1	1998	\N	\N	Adult
tt0261293	movie	Sexo Cruzado	Sexo Cruzado	1	1986	\N	\N	Adult
tt0261294	movie	O Sexo e as Pipas	O Sexo e as Pipas	0	1981	\N	70	\N
tt0261295	movie	Sexual Sea	Sexual Sea	0	1997	\N	\N	\N
tt0261296	movie	Shaitani Ilaaka	Shaitani Ilaaka	0	1990	\N	128	Horror
tt0261297	movie	Shamwari	Shamwari	0	1982	\N	93	Action,Drama
tt0261298	movie	Shekhvedra	Shekhvedra	0	1930	\N	66	Action,Adventure,Drama
tt0261299	movie	Shiroi sanmyaku	Shiroi sanmyaku	0	1957	\N	71	Documentary
tt0261300	movie	Shubha Bol Narya	Shubha Bol Narya	0	1990	\N	129	Comedy
tt0261301	movie	Sidhi	Sidhi	0	1999	\N	90	Drama,Romance
tt0261302	movie	Sidila Mari	Sidila Mari	0	1971	\N	131	\N
tt0261303	tvEpisode	Siegfried	Siegfried	0	1982	\N	\N	\N
tt0261304	video	Signore indecenti	Signore indecenti	1	1996	\N	80	Adult
tt0261305	movie	Sinfonia Sertaneja	Sinfonia Sertaneja	0	1979	\N	104	Musical
tt0261306	short	Sirènes modernes	Sirènes modernes	0	1961	\N	6	Documentary,Short,Sport
tt0261307	movie	Slaves of Mr. Keith: 2nd Serving	Slaves of Mr. Keith: 2nd Serving	1	1997	\N	\N	\N
tt0261309	movie	Sob o Domínio do Sexo	Sob o Domínio do Sexo	0	1973	\N	81	Crime
tt0261310	movie	Soltera	Soltera	0	1999	\N	\N	Drama,Romance
tt0261311	movie	Sound of the Sea	Son de mar	0	2001	\N	95	Drama,Romance
tt0261312	movie	Sora yukaba	Sora yukaba	0	1957	\N	105	Drama,War
tt0261313	tvShort	The Spaghetti Story	The Spaghetti Story	0	1957	\N	3	Short
tt0261314	video	Spice's Best of Naughty Amateur Home Videos	Spice's Best of Naughty Amateur Home Videos	1	1999	\N	\N	\N
tt0261315	movie	Spokoystvie otmenyaetsya	Spokoystvie otmenyaetsya	0	1983	\N	78	Comedy
tt0261316	tvEpisode	Greatest Games	Greatest Games	0	1999	\N	\N	Biography,Documentary,History
tt0261317	video	Cock City Corral	Spritzende Colts	1	1991	\N	86	Adult,Western
tt0261318	movie	Sred bela dnya...	Sred bela dnya...	0	1983	\N	91	Drama
tt0261319	movie	Srok davnosti	Srok davnosti	0	1983	\N	91	Crime,Drama,Romance
tt0261320	tvEpisode	Im Regen tanzen	Im Regen tanzen	0	1990	\N	81	Crime,Drama
tt0261321	movie	Love 600	Stehaufmädchen	0	1970	\N	90	Comedy
tt0261322	video	Stitches	Stitches	0	2001	\N	81	Horror
tt0261323	tvMovie	Stories from Growing Up	Stories from Growing Up	0	1991	\N	30	\N
tt0261324	movie	Witchcraft of the City	Stregoni di città	0	1973	\N	90	\N
tt0261325	movie	Strelyat sgoryacha ne stoit	Strelyat sgoryacha ne stoit	0	1983	\N	77	Drama
tt0261326	movie	Strippers	Strippers	0	2000	\N	71	Comedy,Drama
tt0261327	movie	Strohwitwer	Strohwitwer	0	1931	\N	96	\N
tt0261328	movie	Structures on Rail	Structures on Rail	0	1999	\N	\N	\N
tt0261329	video	Student Body	Student Body	1	1999	\N	74	Adult,Comedy,Romance
tt0261330	short	Students	Students	0	1973	\N	\N	Documentary,Short
tt0261331	movie	Sudigundaalu	Sudigundaalu	0	1968	\N	136	Drama
tt0261332	video	Sugar 4	Sugar 4	1	2000	\N	132	\N
tt0261333	movie	Suli	Suli	0	1978	\N	137	\N
tt0261334	movie	Sumangali	Sumangali	0	1965	\N	163	Drama,Family
tt0261335	movie	Super Lupe	Super Lupe	0	1990	\N	\N	\N
tt0261336	movie	Surveillance	Surveillance	0	2000	\N	\N	Comedy,Crime,Mystery
tt0261337	tvEpisode	A Fistful of Chips	A Fistful of Chips	0	1999	\N	99	Crime,Drama,Mystery
tt0261338	movie	Tamagotchi	Sei yuet sei yat	0	1997	\N	88	Drama,Horror
tt0261339	movie	Tanata	Tanata	0	1974	\N	\N	\N
tt0261340	movie	Tanková brigáda	Tanková brigáda	0	1955	\N	93	War
tt0261341	movie	Tara - Prazeres Proibidos	Tara - Prazeres Proibidos	0	1979	\N	80	Crime
tt0261342	movie	As Taradas Atacam	As Taradas Atacam	0	1978	\N	80	Comedy
tt0261343	movie	Tarpenieto na kamaka	Tarpenieto na kamaka	0	1998	\N	50	Documentary
tt0261345	tvEpisode	Mauer des Schweigens	Mauer des Schweigens	0	2000	\N	90	Crime,Drama,Mystery
tt0261346	movie	Tem Piranha no Garimpo	Tem Piranha no Garimpo	0	1978	\N	103	Comedy
tt0261347	movie	Tenali Raman	Tenali Raman	0	1956	\N	195	Comedy,Drama,History
tt0261348	movie	Tenali Ramakrishna	Tenali Ramakrishna	0	1956	\N	168	Comedy,Drama,History
tt0261349	movie	Terror in Sutterville	Terror in Sutterville	0	1987	\N	\N	\N
tt0261350	movie	Thendral Veesum	Thendral Veesum	0	1962	\N	\N	\N
tt0261352	tvMovie	Thursday the 12th	Thursday the 12th	0	2003	\N	200	Crime,Drama,Mystery
tt0261353	video	Tight-Ass Lowriders	Tight-Ass Lowriders	1	2000	\N	\N	Adult
tt0261354	movie	Tikhie omuty	Tikhie omuty	0	2000	\N	129	Comedy,Drama,Romance
tt0261355	movie	Tillitsmannen	Tillitsmannen	0	1976	\N	80	Documentary
tt0261356	video	Tintin, Black Path	Tintin chez les négros	1	1994	\N	\N	Adult
tt0261357	movie	Todi Kodallu	Todi Kodallu	0	1957	\N	\N	Drama
tt0261358	tvMovie	The Tony Hancock Special	The Tony Hancock Special	0	1972	\N	90	Comedy
tt0261359	tvEpisode	Torn Between Two Fathers	Torn Between Two Fathers	0	1989	\N	60	Adventure,Comedy,Drama
tt0261360	movie	Tortura Cruel	Tortura Cruel	0	1980	\N	92	Crime
tt0261361	movie	Torturadas Pelo Sexo	Torturadas Pelo Sexo	0	1976	\N	104	Crime,Drama
tt0261362	short	Total Approach	Total Approach	0	1971	\N	26	Documentary,Short
tt0261363	movie	Traí... Minha Amante Descobriu	Traí... Minha Amante Descobriu	0	1978	\N	90	Drama
tt0261364	movie	Traídas Pelo Desejo	Traídas Pelo Desejo	0	1976	\N	90	Crime
tt0261365	movie	Troca-Troca do Prazer	Troca-Troca do Prazer	1	1985	\N	\N	Adult
tt0261366	tvMovie	The Three Musketeers	Les trois Mousquetaires	0	1984	\N	\N	\N
tt0261367	movie	El trono del infierno	El trono del infierno	0	1994	\N	93	Fantasy,Horror
tt0261368	movie	Os três Boiadeiros	Os três Boiadeiros	0	1979	\N	90	\N
tt0261369	movie	Tukrana Kathe	Tukrana Kathe	0	1982	\N	\N	\N
tt0261370	movie	La tête à l'envers	La tête à l'envers	0	1993	\N	60	\N
tt0261371	movie	Udbhav	Udbhav	0	1988	\N	\N	\N
tt0261372	movie	Um Homem Tem Que Ser Morto	Um Homem Tem Que Ser Morto	0	1973	\N	85	Drama
tt0261373	movie	Uma Estranha História de Amor	Uma Estranha História de Amor	0	1979	\N	100	Drama
tt0261374	tvMovie	Un mois de réflexion	Un mois de réflexion	0	1998	\N	94	Comedy
tt0261375	movie	Up Syndrome	Up Syndrome	0	2000	\N	59	Documentary
tt0261376	movie	Upper Krishna Project	Upper Krishna Project	0	1977	\N	\N	Documentary
tt0261377	short	Urban Chaos Theory	Urban Chaos Theory	0	2000	\N	21	Drama,Short
tt0261378	short	The Sign of Danger	Vaaran merkki	0	1978	\N	20	Documentary,Short
tt0261379	movie	An Island of Their Own	Vademberek	0	2001	\N	\N	Adventure,Drama,Thriller
tt0261380	movie	Under One Roof	Vagas Para Moças de Fino Trato	0	1993	\N	98	Comedy,Drama
tt0261381	movie	Vanga Sambandhi Vanga	Vanga Sambandhi Vanga	0	1976	\N	\N	\N
tt0261382	movie	Var Pahije	Var Pahije	0	1950	\N	\N	\N
tt0261383	movie	Vasantha Sena	Vasantha Sena	0	1967	\N	180	\N
tt0261385	movie	Venganza mortal	Venganza mortal	0	1995	\N	\N	Action
tt0261387	tvMovie	I vespri siciliani	I vespri siciliani	0	1986	\N	155	Drama,Music
tt0261388	tvMovie	La veuve joyeuse	La veuve joyeuse	0	1983	\N	150	Comedy,Musical,Romance
tt0261390	movie	O Viciado em C...	O Viciado em C...	1	1984	\N	80	Adult,Comedy
tt0261391	movie	Viciado em C... II	Viciado em C... II	1	1985	\N	75	Adult
tt0261392	movie	Jay and Silent Bob Strike Back	Jay and Silent Bob Strike Back	0	2001	\N	104	Comedy
tt0261393	movie	Os Violentadores	Os Violentadores	0	1978	\N	87	Western
tt0261394	movie	Violência E Sedução	Violência E Sedução	0	1979	\N	85	Crime
tt0261395	movie	The Chick's Ability	Volúpia de Mulher	0	1984	\N	89	Drama
tt0261396	video	The Voyeur 16	The Voyeur 16	1	2000	\N	125	Adult
tt0261397	movie	Murderous Doubts	Vrazedné pochybnosti	0	1979	\N	80	Crime,Drama
tt0261398	movie	Vítezná cesta	Vítezná cesta	0	1950	\N	\N	Documentary
tt0261399	movie	Waar de hemel zong	Waar de hemel zong	0	1954	\N	81	Adventure,Documentary
tt0261400	movie	Wakai shigeki	Wakai shigeki	0	1967	\N	70	\N
tt0261402	movie	Warm in the Bud	Warm in the Bud	0	1970	\N	57	Drama
tt0261403	video	Watch Me Pee	Watch Me Pee	1	2000	\N	100	Adult
tt0261404	video	Watchers	Watchers	1	2000	\N	90	Adult,Fantasy,Thriller
tt0261405	movie	Wochenend im Paradies	Wochenend im Paradies	0	1931	\N	75	Comedy,Musical
tt0261406	tvSpecial	When Changing Rooms Met Ground Force	When Changing Rooms Met Ground Force	0	2000	\N	\N	Reality-TV
tt0261407	videoGame	Who Wants to Be a Millionaire?	Who Wants to Be a Millionaire?	0	2000	\N	\N	Game-Show
tt0261408	movie	The Wicked Die Slow	The Wicked Die Slow	0	1968	\N	75	Drama,Western
tt0261410	movie	Wife Swappers	Wife Swappers	0	1965	\N	60	Drama
tt0261411	movie	Wild Is My Love	Wild Is My Love	0	1963	\N	74	Drama
tt0261412	movie	Wild Outtakes	Wild Outtakes	0	1969	\N	71	\N
tt0261413	movie	Wild in the Woods	Wild in the Woods	0	1970	\N	\N	\N
tt0261414	movie	Wild, Wild Girl	Wild, Wild Girl	0	1965	\N	61	\N
tt0261415	movie	The Wildest!	The Wildest!	0	1969	\N	74	\N
tt0261416	movie	Wine, Women and Women	Wine, Women and Women	1	1969	\N	\N	Drama
tt0261417	short	The Woman in Black	The Woman in Black	0	1914	\N	\N	Comedy,Short
tt0261418	movie	Woman to Woman	Woman to Woman	0	1975	\N	48	Documentary
tt0261419	short	Women	Women	1	1970	\N	\N	Adult,Short
tt0261420	short	Women I Love	Women I Love	0	1979	\N	23	Short
tt0261421	movie	Women Take Back the Night March	Women Take Back the Night March	0	1981	\N	\N	Documentary
tt0261422	movie	Women Women Women Moira	Women Women Women Moira	0	1970	\N	72	Drama
tt0261423	movie	Women by Night	La donna di notte	0	1962	\N	92	Documentary
tt0261424	movie	Women for All Reasons	Women for All Reasons	0	1969	\N	69	Fantasy
tt0261425	movie	Women of Desire	Women of Desire	0	1967	\N	71	Drama
tt0261426	movie	Women on Orgasm: Out in the Open	Women on Orgasm: Out in the Open	0	1974	\N	\N	\N
tt0261427	video	Ethnic Cheerleader Search 5	Ethnic Cheerleader Search 5	1	2001	\N	110	Adult
tt0261428	movie	Worlds of Love	Worlds of Love	1	1972	\N	66	Adult
tt0261429	short	WOW Women of the World	WOW Women of the World	0	1975	\N	10	Animation,Short
tt0261430	movie	Writers Delight	Writers Delight	1	1977	\N	\N	Adult
tt0261431	movie	You Can't Spell 'Sex' Without ... X	You Can't Spell 'Sex' Without ... X	0	1970	\N	67	\N
tt0261432	movie	Xmas	Xmas	0	1969	\N	\N	\N
tt0261433	movie	Y si ella volviera	Y si ella volviera	0	1957	\N	92	Drama
tt0261434	short	YOY: Alle geschrijf is gezeik	YOY: Alle geschrijf is gezeik	0	1997	\N	24	Documentary,Short
tt0261435	movie	Poisons or the World History of Poisoning	Yady, ili vsemirnaya istoriya otravleniy	0	2001	\N	106	Comedy
tt0261436	short	Yamekraw	Yamekraw	0	1930	\N	10	Musical,Short
tt0261437	short	Year 1965	Year 1965	1	1965	\N	\N	Adult,Short
tt0261438	movie	Yellow Bird	Yellow Bird	0	1970	\N	62	Drama
tt0261439	short	Yes	Yes	1	1969	\N	\N	Adult,Short
tt0261440	movie	Yoru naku onna	Yoru naku onna	0	1967	\N	76	\N
tt0261442	short	You Just Love Your Children	You Just Love Your Children	0	1979	\N	12	Short
tt0261443	movie	The Young Man's Bride	The Young Man's Bride	0	1968	\N	\N	Drama
tt0261444	movie	Young Masters	Young Masters	1	\N	\N	\N	Adult
tt0261445	movie	Young Stallions	Young Stallions	1	1976	\N	60	Adult
tt0261447	tvSeries	Yung wong jik chin	Yung wong jik chin	0	2000	\N	\N	\N
tt0261448	movie	Goblins and Good Luck 2	Z pekla stestí 2	0	2001	\N	102	Comedy,Family
tt0261449	movie	Zatvornik	Zatvornik	0	2000	\N	90	Thriller
tt0261450	movie	The Envy of Gods	Zavist bogov	0	2000	\N	135	Drama,Romance
tt0261451	movie	Zbrane pro Prahu	Zbrane pro Prahu	0	1975	\N	73	War
tt0261452	movie	Zhenshchin obizhat ne rekomenduetsya	Zhenshchin obizhat ne rekomenduetsya	0	2000	\N	86	Drama
tt0261453	tvMovie	Gwiazdka w Zlotopolicach	Gwiazdka w Zlotopolicach	0	1999	\N	52	\N
tt0261454	short	Zorro's Girls	Zorro's Girls	1	1965	\N	\N	Adult,Short
tt0261455	movie	À fleur de terre	À fleur de terre	0	1990	\N	62	\N
tt0261456	tvMovie	Åke från Åstol	Åke från Åstol	0	1998	\N	50	Comedy,Drama
tt0261457	movie	Ódio	Ódio	0	1977	\N	125	Crime,Drama
tt0261458	movie	A Última Ilusão	A Última Ilusão	0	1976	\N	75	Drama
tt0261459	movie	O Último Cão de Guerra	O Último Cão de Guerra	0	1979	\N	92	Crime
tt0261460	movie	O Último Vôo do Condor	O Último Vôo do Condor	0	1983	\N	90	Crime
tt0261461	tvSeries	The Adventures of Brigadier Wellington-Bull	The Adventures of Brigadier Wellington-Bull	0	1959	1959	30	Comedy
tt0261462	tvSeries	Attachments	Attachments	0	2000	2002	50	Drama
tt0261463	tvSeries	Ceres: Celestial Legend	Ayashi no Ceres	0	2000	2000	21	Adventure,Animation,Comedy
tt0261464	tvSeries	Az év Hangja	Az év Hangja	0	2000	\N	\N	Music
tt0261465	tvSeries	The Big Time	The Big Time	0	1976	1980	50	Documentary
tt0261466	tvSeries	Casal 80	Casal 80	0	1984	\N	\N	\N
tt0261467	tvSeries	Csíííz	Csíííz	0	1998	2001	\N	Comedy,Reality-TV
tt0261468	tvSeries	Drácula, Uma História de Amor	Drácula, Uma História de Amor	0	1980	\N	\N	Drama,Romance
tt0261470	tvSeries	Expeditie Robinson	Expeditie Robinson	0	2000	\N	\N	Adventure,Game-Show,Reality-TV
tt0261471	tvSeries	O Feijão e o Sonho	O Feijão e o Sonho	0	1969	\N	\N	\N
tt0261472	tvSeries	Fifteen to One	Fifteen to One	0	1988	2003	30	Game-Show
tt0261473	tvSeries	Generation O!	Generation O!	0	2000	2001	26	Animation,Comedy,Family
tt0261474	tvSeries	Grande Fratello	Grande Fratello	0	2000	\N	180	Game-Show,Reality-TV
tt0261475	tvSeries	Hollywood Greats	The Hollywood Greats	0	1977	\N	40	Documentary,History
tt0261476	tvSeries	Just Deal	Just Deal	0	2000	2002	30	Comedy,Drama
