tconst	directors	writers
tt0062336	nm0749914,nm0765384	nm0749914,nm1146177
tt0070596	nm0749914,nm0765384	nm0667610,nm0749914,nm0765384
tt0077684	nm0127908	\N
tt0093119	nm0007013	nm0564651,nm0791007
tt0097767	nm0560510	\N
tt0104988	nm0462899	\N
tt0120589	nm0004000	nm15343634,nm1860699
tt0164115	nm0079782	nm0418748
tt0191010	nm0842379	nm0842379
tt0201206	\N	\N
tt0202523	nm1126758	nm1126758,nm1126984
tt0211266	nm0430867	\N
tt0226822	nm0948622	\N
tt0228802	nm0847300	\N
tt0244158	nm0080342,nm1802473	\N
tt0249596	\N	nm0558577
tt0250219	nm0596034	\N
tt0260293	nm0596261	nm0524521,nm0596261
tt0267968	nm0275789	nm0275789
tt0287075	nm0306126	nm0997691
tt0293429	nm2585406	nm3859643,nm1709264,nm3349927,nm0095460,nm0864880
tt0293513	nm0711877	nm0711877
tt0327785	nm0675102	nm0712444,nm0185429,nm1163466
tt0346172	nm0708001	nm0707274,nm1294844,nm1295045
tt0347066	nm1301662	nm1301662
tt0353974	nm0417562	\N
tt0361130	nm0067384	\N
tt0368133	nm0698464	nm0698464
tt0375008	nm0535393,nm1410656	nm1449762,nm0718011,nm1453169
tt0427340	nm1325899	nm2752098
tt0438755	nm1840881,nm1205845	nm1840881,nm1205845
tt0439572	nm0615592	nm5429637,nm0197855,nm0326246,nm1703612,nm1764901,nm1189346,nm1189825,nm0408639,nm0796950,nm0795975,nm0004170,nm0277730,nm0551376
tt0446792	nm3584411	nm3584411
tt0451272	nm1235298	nm1235298
tt0453528	nm1430400	nm1674854,nm1430400,nm1887999
tt0473100	nm0656065	nm0656065
tt0476791	nm1091273	nm1802449,nm0474844,nm1091273
tt0498396	nm1601882,nm2154609,nm4670728	nm0001094,nm0210320,nm5044246,nm1601882
tt0499097	nm1356588	nm0792263,nm1475436,nm0002007
tt0762118	nm0884452	nm0273490
tt0780471	nm1569270	nm1569270
tt0781524	nm4835724	nm1812461
tt0783848	nm0487897	nm0487897
tt0805647	nm0000709	nm0000709,nm1244069,nm0868219,nm0001094
tt0870154	nm1429471	nm0338169,nm0275629,nm0720135,nm0636358,nm0326247
tt0875612	nm0566041	nm0566041
tt0887261	nm1410159	nm2049126,nm2431095,nm0275286,nm0000850
tt0899043	nm0369949	nm0514474,nm0634307,nm0818889
tt0902292	nm2245642	nm2245642
tt0920462	nm1802274	nm2476071
tt0979902	nm2581582	nm2579028
tt0983946	nm0905592	nm0905592,nm1496753,nm3273842,nm0506215
tt0993840	nm0811583	nm0811583,nm8748334,nm1703612
tt0995854	nm0000243	nm1125049,nm13240476,nm2605932
tt10003008	nm2002649	nm2002649,nm1846132,nm2835934
tt10003614	nm1956652	nm1956652
tt10003618	nm4234652	nm5175636,nm4234652
tt10003994	nm2474072	nm2474072
tt10004032	nm1454596,nm1189743	nm1454596,nm1189743
tt10004108	nm5084422,nm2071123	nm5084422,nm3094939,nm2071123,nm0599393
tt10004368	nm3987270	nm3987270
tt10004906	nm16286223	nm16286221,nm16286223
tt10005250	nm10376480	nm10376480
tt10005622	nm0448831	nm6077746
tt10005692	nm9499781	nm9499781
tt10006160	nm5292549	nm5292549
tt10009608	nm3270894,nm3615875	nm3270894,nm3615875
tt10010852	nm4019593	nm4019593,nm10543285
tt10010874	\N	nm2446104
tt10011002	nm4646219	nm4646219
tt10011228	nm1749112	nm1749112,nm1951105,nm3289681,nm1797444
tt10011240	nm2808962	nm2808962,nm3373004
tt10011774	nm0315837,nm9971287	nm0315837,nm2478571,nm14178723
tt10012002	nm3307804	nm3307804
tt10012930	nm4818970	nm2990632
tt10013512	nm1496020	nm2805298,nm0001663
tt10013588	nm10544333	nm10544333
tt10014534	nm2863372	nm2863372
tt10014718	nm10544900	nm10544901,nm10544900
tt1001520	nm0004217	nm0831290,nm0776885,nm5599654
tt10015244	nm6136445	nm3250749
tt10015252	nm3925951,nm8430943	\N
tt10015802	nm2570760	nm11518366,nm10545923,nm11518365,nm8074551
tt10016152	nm0195848,nm1414128	\N
tt10016180	nm0359387	nm0359387
tt10016454	nm5077890	nm5077890
tt10016640	nm9956126	nm9956126
tt10019108	nm0832393	nm5629819,nm0832393
tt10020566	nm9914242	nm9914242
tt10021068	nm1870028	nm1870028
tt10021582	nm2106459	nm9024606
tt10022716	nm4390250	nm4390250,nm2112420
tt10022726	nm10050155	nm11956055
tt10022782	nm0051104,nm0004787,nm3260333,nm3078237,nm1374033,nm0137140,nm0001881,nm0200539,nm0001216,nm0283515,nm1945266,nm1121121,nm5486914,nm0347149,nm2635129,nm0363117,nm0371498,nm0562003,nm3463525,nm1946184,nm5033757	nm0371498
tt10022990	nm8490655,nm11262032	nm8490655
tt10023022	nm2099491	nm2099491,nm0004778
tt10023024	nm1665004	nm1665004,nm13419920
tt10023150	nm0468007	nm0736676,nm0468007,nm0512071
tt10023172	nm0033384	nm0033384,nm1919741
tt10023266	nm7053856	nm1149017,nm7053856
tt10023274	nm0431044,nm0431049	\N
tt10023286	nm3046538	nm3046538
tt10026772	nm2901897,nm0411523	nm3226707
tt10027720	nm5206176	nm5206176,nm5742072
tt10028196	nm2378914	nm0474609,nm0343165,nm0744839
tt10028620	nm4455403	nm4455403
tt10028812	nm7388685	\N
tt10030150	nm1778060,nm2061884,nm5034304,nm3153264,nm8310136,nm3503408,nm6078996,nm1330023	nm1778060,nm3171623,nm2061884,nm5034304,nm6078997,nm6078996,nm1330023
tt10032266	nm4494278	nm4494278
tt10032342	nm0176496	nm10552385
tt10032574	nm6724631	nm6724631
tt10033964	nm3803666	nm3803666,nm1969135
